Wavelength [nm],Solar spectral irradiance [W/m\sp2\ep/nm]
136.45,0.00002731
136.5,0.00002652
136.55,0.00002581
136.6,0.00002535
136.65,0.00002526
136.7,0.00002543
136.75,0.00002602
136.8,0.00002685
136.85,0.00002787
136.9,0.00002902
136.95,0.0000302
137,0.00003129
137.05,0.00003214
137.1,0.00003249
137.15,0.00003238
137.2,0.000032
137.25,0.00003125
137.3,0.00003042
137.35,0.00002977
137.4,0.00002929
137.45,0.00002888
137.5,0.00002865
137.55,0.00002841
137.6,0.00002825
137.65,0.00002803
137.7,0.00002798
137.75,0.0000281
137.8,0.00002842
137.85,0.00002888
137.9,0.00002957
137.95,0.00003021
138,0.00003072
138.05,0.00003094
138.1,0.0000309
138.15,0.00003052
138.2,0.00002993
138.25,0.00002914
138.3,0.00002856
138.35,0.00002821
138.4,0.00002811
138.45,0.00002818
138.5,0.00002865
138.55,0.00002922
138.6,0.00002986
138.65,0.00003041
138.7,0.00003084
138.75,0.0000312
138.8,0.00003138
138.85,0.00003134
138.9,0.00003132
138.95,0.00003153
139,0.00003276
139.05,0.00003902
139.1,0.00005303
139.15,0.00007561
139.2,0.0001045
139.25,0.0001345
139.3,0.0001577
139.35,0.0001689
139.4,0.0001653
139.45,0.000148
139.5,0.0001222
139.55,0.00009518
139.6,0.00007138
139.65,0.00005358
139.7,0.00004334
139.75,0.0000397
139.8,0.0000399
139.85,0.00004227
139.9,0.00004631
139.95,0.00005285
140,0.00006263
140.05,0.00007581
140.1,0.00009066
140.15,0.0001044
140.2,0.0001138
140.25,0.0001171
140.3,0.0001136
140.35,0.0001041
140.4,0.00009083
140.45,0.00007728
140.5,0.0000657
140.55,0.00005653
140.6,0.00005035
140.65,0.00004721
140.7,0.00004562
140.75,0.00004448
140.8,0.00004369
140.85,0.00004315
140.9,0.00004318
140.95,0.00004377
141,0.00004478
141.05,0.0000459
141.1,0.00004703
141.15,0.00004786
141.2,0.00004817
141.25,0.00004796
141.3,0.00004744
141.35,0.00004668
141.4,0.00004598
141.45,0.0000455
141.5,0.00004521
141.55,0.00004516
141.6,0.00004521
141.65,0.00004518
141.7,0.00004514
141.75,0.00004495
141.8,0.0000445
141.85,0.00004404
141.9,0.00004355
141.95,0.00004296
142,0.00004234
142.05,0.00004198
142.1,0.00004169
142.15,0.00004187
142.2,0.00004285
142.25,0.00004492
142.3,0.00004807
142.35,0.00005181
142.4,0.00005508
142.45,0.00005746
142.5,0.00005823
142.55,0.00005701
142.6,0.00005435
142.65,0.00005121
142.7,0.00004807
142.75,0.00004566
142.8,0.00004416
142.85,0.00004385
142.9,0.00004464
142.95,0.00004634
143,0.00004862
143.05,0.0000516
143.1,0.00005481
143.15,0.00005782
143.2,0.00006014
143.25,0.0000615
143.3,0.00006162
143.35,0.00006076
143.4,0.00005928
143.45,0.00005777
143.5,0.00005665
143.55,0.00005595
143.6,0.00005557
143.65,0.00005526
143.7,0.00005476
143.75,0.00005399
143.8,0.00005305
143.85,0.00005211
143.9,0.00005143
143.95,0.00005101
144,0.00005091
144.05,0.00005127
144.1,0.00005188
144.15,0.00005259
144.2,0.00005332
144.25,0.00005401
144.3,0.00005457
144.35,0.00005507
144.4,0.00005545
144.45,0.00005581
144.5,0.00005612
144.55,0.0000563
144.6,0.00005642
144.65,0.00005637
144.7,0.00005617
144.75,0.00005575
144.8,0.00005529
144.85,0.00005488
144.9,0.00005455
144.95,0.00005434
145,0.00005437
145.05,0.00005454
145.1,0.0000548
145.15,0.00005523
145.2,0.00005584
145.25,0.00005678
145.3,0.00005775
145.35,0.00005882
145.4,0.00005983
145.45,0.00006063
145.5,0.00006098
145.55,0.00006103
145.6,0.00006081
145.65,0.00006069
145.7,0.00006076
145.75,0.00006103
145.8,0.00006141
145.85,0.00006188
145.9,0.00006216
145.95,0.00006209
146,0.00006186
146.05,0.00006195
146.1,0.00006245
146.15,0.00006336
146.2,0.00006469
146.25,0.0000662
146.3,0.00006743
146.35,0.00006804
146.4,0.00006808
146.45,0.00006809
146.5,0.00006876
146.55,0.00007044
146.6,0.00007311
146.65,0.00007641
146.7,0.00007976
146.75,0.00008222
146.8,0.00008328
146.85,0.00008285
146.9,0.00008135
146.95,0.00007983
147,0.0000798
147.05,0.00008245
147.1,0.00008837
147.15,0.00009731
147.2,0.0001078
147.25,0.0001173
147.3,0.0001233
147.35,0.0001245
147.4,0.0001208
147.45,0.0001128
147.5,0.0001024
147.55,0.00009163
147.6,0.00008237
147.65,0.00007549
147.7,0.00007086
147.75,0.00006825
147.8,0.00006735
147.85,0.00006819
147.9,0.00007092
147.95,0.00007563
148,0.00008208
148.05,0.00008946
148.1,0.00009653
148.15,0.0001017
148.2,0.000104
148.25,0.0001032
148.3,0.0001004
148.35,0.00009641
148.4,0.00009269
148.45,0.00009018
148.5,0.00008951
148.55,0.00008968
148.6,0.00008996
148.65,0.0000896
148.7,0.00008837
148.75,0.00008614
148.8,0.00008344
148.85,0.0000807
148.9,0.00007859
148.95,0.00007731
149,0.00007695
149.05,0.00007729
149.1,0.0000782
149.15,0.00007932
149.2,0.00008047
149.25,0.00008141
149.3,0.00008203
149.35,0.00008201
149.4,0.00008158
149.45,0.00008085
149.5,0.0000799
149.55,0.00007913
149.6,0.00007877
149.65,0.00007869
149.7,0.00007915
149.75,0.00008015
149.8,0.00008144
149.85,0.00008312
149.9,0.00008498
149.95,0.00008675
150,0.00008834
150.05,0.00008951
150.1,0.00009015
150.15,0.0000903
150.2,0.00009006
150.25,0.00008963
150.3,0.00008911
150.35,0.0000884
150.4,0.00008776
150.45,0.00008725
150.5,0.00008693
150.55,0.00008668
150.6,0.00008678
150.65,0.00008718
150.7,0.00008777
150.75,0.00008854
150.8,0.00008999
150.85,0.0000921
150.9,0.00009459
150.95,0.00009729
151,0.00009967
151.05,0.0001012
151.1,0.0001015
151.15,0.0001008
151.2,0.00009906
151.25,0.00009699
151.3,0.00009502
151.35,0.00009349
151.4,0.00009258
151.45,0.00009233
151.5,0.00009254
151.55,0.00009291
151.6,0.00009324
151.65,0.00009346
151.7,0.0000938
151.75,0.00009399
151.8,0.00009425
151.85,0.00009468
151.9,0.0000953
151.95,0.00009594
152,0.00009677
152.05,0.00009773
152.1,0.0000989
152.15,0.0001
152.2,0.0001012
152.25,0.0001023
152.3,0.0001038
152.35,0.0001065
152.4,0.0001119
152.45,0.0001202
152.5,0.0001303
152.55,0.0001402
152.6,0.0001484
152.65,0.0001522
152.7,0.0001508
152.75,0.0001447
152.8,0.0001362
152.85,0.0001274
152.9,0.0001198
152.95,0.0001148
153,0.0001136
153.05,0.0001165
153.1,0.000123
153.15,0.0001326
153.2,0.0001438
153.25,0.000154
153.3,0.000161
153.35,0.0001628
153.4,0.0001594
153.45,0.0001521
153.5,0.0001438
153.55,0.0001365
153.6,0.0001314
153.65,0.0001284
153.7,0.000127
153.75,0.0001261
153.8,0.0001254
153.85,0.0001251
153.9,0.000126
153.95,0.0001284
154,0.0001314
154.05,0.000134
154.1,0.0001352
154.15,0.0001345
154.2,0.0001319
154.25,0.0001287
154.3,0.0001261
154.35,0.0001249
154.4,0.000125
154.45,0.0001286
154.5,0.0001431
154.55,0.0001742
154.6,0.0002223
154.65,0.0002833
154.7,0.0003475
154.75,0.0004026
154.8,0.0004404
154.85,0.0004562
154.9,0.0004485
154.95,0.0004241
155,0.0003908
155.05,0.0003527
155.1,0.0003124
155.15,0.0002726
155.2,0.0002348
155.25,0.0001997
155.3,0.0001687
155.35,0.0001444
155.4,0.00013
155.45,0.0001251
155.5,0.0001258
155.55,0.0001285
155.6,0.0001337
155.65,0.0001419
155.7,0.0001536
155.75,0.0001699
155.8,0.0001921
155.85,0.0002195
155.9,0.0002488
155.95,0.0002758
156,0.0002948
156.05,0.000302
156.1,0.0002957
156.15,0.0002775
156.2,0.0002518
156.25,0.0002246
156.3,0.0001995
156.35,0.0001796
156.4,0.000166
156.45,0.0001578
156.5,0.0001538
156.55,0.0001533
156.6,0.0001544
156.65,0.0001566
156.7,0.0001607
156.75,0.0001662
156.8,0.0001722
156.85,0.0001781
156.9,0.0001832
156.95,0.0001862
157,0.0001867
157.05,0.0001851
157.1,0.0001823
157.15,0.0001809
157.2,0.0001829
157.25,0.0001885
157.3,0.0001966
157.35,0.0002053
157.4,0.0002116
157.45,0.0002129
157.5,0.0002083
157.55,0.0001993
157.6,0.0001876
157.65,0.0001754
157.7,0.0001648
157.75,0.0001574
157.8,0.0001536
157.85,0.0001532
157.9,0.0001552
157.95,0.0001583
158,0.0001611
158.05,0.0001625
158.1,0.0001622
158.15,0.0001606
158.2,0.0001592
158.25,0.0001592
158.3,0.000161
158.35,0.0001645
158.4,0.0001689
158.45,0.0001725
158.5,0.0001749
158.55,0.0001766
158.6,0.0001781
158.65,0.0001797
158.7,0.0001822
158.75,0.0001846
158.8,0.0001865
158.85,0.000187
158.9,0.0001857
158.95,0.0001832
159,0.0001806
159.05,0.0001782
159.1,0.0001765
159.15,0.0001762
159.2,0.0001773
159.25,0.0001795
159.3,0.0001823
159.35,0.0001851
159.4,0.0001871
159.45,0.0001873
159.5,0.000185
159.55,0.0001807
159.6,0.0001751
159.65,0.0001692
159.7,0.0001644
159.75,0.0001612
159.8,0.0001602
159.85,0.0001616
159.9,0.0001649
159.95,0.0001701
160,0.0001769
160.05,0.0001843
160.1,0.0001913
160.15,0.0001969
160.2,0.0001998
160.25,0.0001999
160.3,0.0001974
160.35,0.000193
160.4,0.0001887
160.45,0.000185
160.5,0.0001827
160.55,0.0001828
160.6,0.0001855
160.65,0.0001896
160.7,0.0001944
160.75,0.0001998
160.8,0.0002051
160.85,0.00021
160.9,0.0002147
160.95,0.0002195
161,0.0002251
161.05,0.0002318
161.1,0.0002391
161.15,0.0002462
161.2,0.000252
161.25,0.000255
161.3,0.0002542
161.35,0.0002491
161.4,0.0002408
161.45,0.0002312
161.5,0.000222
161.55,0.0002147
161.6,0.0002113
161.65,0.0002113
161.7,0.0002136
161.75,0.0002166
161.8,0.0002197
161.85,0.0002225
161.9,0.0002254
161.95,0.0002288
162,0.0002341
162.05,0.00024791
162.1,0.00026112
162.15,0.00027413
162.2,0.00028614
162.25,0.00029651
162.3,0.00030572
162.35,0.00031462
162.4,0.00032332
162.45,0.00033239
162.5,0.00034078
162.55,0.00034673
162.6,0.00034978
162.65,0.00035046
162.7,0.00034985
162.75,0.00034986
162.8,0.00035064
162.85,0.00035263
162.9,0.00035496
162.95,0.0003579
163,0.0003604
163.05,0.00036356
163.1,0.00036955
163.15,0.00037928
163.2,0.00039045
163.25,0.00040142
163.3,0.00040969
163.35,0.0004131
163.4,0.00041188
163.45,0.00040838
163.5,0.00040497
163.55,0.00040367
163.6,0.00040536
163.65,0.00041034
163.7,0.00041922
163.75,0.00043373
163.8,0.00045276
163.85,0.00047544
163.9,0.00049891
163.95,0.0005184
164,0.00052914
164.05,0.00053127
164.1,0.00052363
164.15,0.00050968
164.2,0.00049534
164.25,0.0004835
164.3,0.00047446
164.35,0.00046793
164.4,0.00046147
164.45,0.00045222
164.5,0.00044121
164.55,0.00042988
164.6,0.00042109
164.65,0.00041597
164.7,0.00041477
164.75,0.00041523
164.8,0.00041633
164.85,0.0004164
164.9,0.00041488
164.95,0.0004108
165,0.00040475
165.05,0.00039759
165.1,0.00039266
165.15,0.00039119
165.2,0.00039426
165.25,0.00040361
165.3,0.0004233
165.35,0.00045978
165.4,0.00051917
165.45,0.00060476
165.5,0.00071632
165.55,0.00084267
165.6,0.00096472
165.65,0.00106017
165.7,0.00110896
165.75,0.00110063
165.8,0.0010389
165.85,0.00093657
165.9,0.00081549
165.95,0.00070016
166,0.00060639
166.05,0.00053989
166.1,0.00050018
166.15,0.00048052
166.2,0.00047181
166.25,0.00046787
166.3,0.00046583
166.35,0.00046428
166.4,0.00046225
166.45,0.00046084
166.5,0.00046061
166.55,0.00046036
166.6,0.00045885
166.65,0.00045697
166.7,0.00045533
166.75,0.00045736
166.8,0.00046841
166.85,0.00048912
166.9,0.00051547
166.95,0.00054432
167,0.00056703
167.05,0.00057245
167.1,0.00055988
167.15,0.00053452
167.2,0.00050374
167.25,0.0004776
167.3,0.00046044
167.35,0.00045422
167.4,0.00045809
167.45,0.00046674
167.5,0.00047418
167.55,0.00047946
167.6,0.00048296
167.65,0.00048597
167.7,0.00048797
167.75,0.00048901
167.8,0.00049024
167.85,0.00049183
167.9,0.00049337
167.95,0.00049499
168,0.00049659
168.05,0.00049752
168.1,0.00049752
168.15,0.00049664
168.2,0.00049546
168.25,0.00049556
168.3,0.0004995
168.35,0.00051012
168.4,0.00052705
168.45,0.00054867
168.5,0.00057174
168.55,0.0005924
168.6,0.00060693
168.65,0.00061401
168.7,0.00061437
168.75,0.00061138
168.8,0.00060833
168.85,0.00060899
168.9,0.00061485
168.95,0.00062651
169,0.00064246
169.05,0.00065875
169.1,0.0006725
169.15,0.00068434
169.2,0.00069435
169.25,0.0007024
169.3,0.00071021
169.35,0.00071941
169.4,0.00072979
169.45,0.00074117
169.5,0.00075194
169.55,0.00076129
169.6,0.00076866
169.65,0.00077463
169.7,0.00077769
169.75,0.00077752
169.8,0.00077558
169.85,0.0007758
169.9,0.00078103
169.95,0.00079199
170,0.00080905
170.05,0.00083037
170.1,0.0008505
170.15,0.00086328
170.2,0.00086666
170.25,0.00086025
170.3,0.000846
170.35,0.00082726
170.4,0.00080757
170.45,0.00078891
170.5,0.00077487
170.55,0.00076637
170.6,0.00076417
170.65,0.00076869
170.7,0.00077937
170.75,0.00079512
170.8,0.00081406
170.85,0.00083126
170.9,0.00084263
170.95,0.0008457
171,0.00084177
171.05,0.00083136
171.1,0.00081599
171.15,0.00079957
171.2,0.00078468
171.25,0.00077171
171.3,0.00076174
171.35,0.00075583
171.4,0.00075517
171.45,0.00076194
171.5,0.00077732
171.55,0.00079828
171.6,0.00082156
171.65,0.00084329
171.7,0.00086036
171.75,0.00086975
171.8,0.00087309
171.85,0.00087429
171.9,0.00087673
171.95,0.00087933
172,0.00088144
172.05,0.0008807
172.1,0.00087483
172.15,0.00086374
172.2,0.00085171
172.25,0.00084314
172.3,0.00083941
172.35,0.00084221
172.4,0.00085015
172.45,0.00086023
172.5,0.00086888
172.55,0.00087351
172.6,0.0008735
172.65,0.00086887
172.7,0.0008579
172.75,0.0008408
172.8,0.0008199
172.85,0.00079753
172.9,0.00077576
172.95,0.00075784
173,0.00074759
173.05,0.00074804
173.1,0.00075821
173.15,0.00077473
173.2,0.00079436
173.25,0.00081344
173.3,0.00082971
173.35,0.00084157
173.4,0.00085029
173.45,0.00085722
173.5,0.0008634
173.55,0.00086862
173.6,0.00087293
173.65,0.00087749
173.7,0.00088243
173.75,0.00088833
173.8,0.00089466
173.85,0.00090267
173.9,0.00091299
173.95,0.00092622
174,0.00094157
174.05,0.00095944
174.1,0.00097784
174.15,0.00099656
174.2,0.00101432
174.25,0.00103029
174.3,0.00104353
174.35,0.00105443
174.4,0.00106052
174.45,0.00106119
174.5,0.00105387
174.55,0.00103775
174.6,0.00101556
174.65,0.00099148
174.7,0.00096994
174.75,0.00095593
174.8,0.00095344
174.85,0.00096443
174.9,0.00098699
174.95,0.00101747
175,0.0010523
175.05,0.00108545
175.1,0.00111521
175.15,0.00113733
175.2,0.00115406
175.25,0.00116796
175.3,0.00118044
175.35,0.00119213
175.4,0.00120366
175.45,0.00121358
175.5,0.0012216
175.55,0.00122537
175.6,0.0012275
175.65,0.00122865
175.7,0.00122977
175.75,0.00123317
175.8,0.001237
175.85,0.00124254
175.9,0.001249
175.95,0.00125767
176,0.00126496
176.05,0.00127035
176.1,0.00127176
176.15,0.00126713
176.2,0.00125643
176.25,0.00124066
176.3,0.00121981
176.35,0.00119844
176.4,0.00118305
176.45,0.00117823
176.5,0.00118859
176.55,0.00121676
176.6,0.00125906
176.65,0.00130639
176.7,0.00135045
176.75,0.00138233
176.8,0.0014005
176.85,0.00140998
176.9,0.00141892
176.95,0.0014344
177,0.00146447
177.05,0.00151001
177.1,0.00156823
177.15,0.00162554
177.2,0.00167022
177.25,0.00169045
177.3,0.00168158
177.35,0.00164312
177.4,0.00158296
177.45,0.00151219
177.5,0.00144683
177.55,0.00139764
177.6,0.00137018
177.65,0.00137084
177.7,0.00139142
177.75,0.00142792
177.8,0.00147438
177.85,0.00152016
177.9,0.0015577
177.95,0.00158119
178,0.00159021
178.05,0.00158545
178.1,0.00157054
178.15,0.00155089
178.2,0.00153773
178.25,0.00154026
178.3,0.00156138
178.35,0.00159637
178.4,0.00163855
178.45,0.00167882
178.5,0.00171082
178.55,0.00172694
178.6,0.00172859
178.65,0.0017232
178.7,0.00171714
178.75,0.00171567
178.8,0.00171985
178.85,0.00173292
178.9,0.00175323
178.95,0.00177503
179,0.00178719
179.05,0.00178433
179.1,0.00176345
179.15,0.00172356
179.2,0.00167175
179.25,0.00161607
179.3,0.00156563
179.35,0.00152991
179.4,0.00151397
179.45,0.00151672
179.5,0.00153301
179.55,0.00155774
179.6,0.0015837
179.65,0.00160773
179.7,0.00163054
179.75,0.00165497
179.8,0.00168141
179.85,0.0017123
179.9,0.00174491
179.95,0.00177748
180,0.0018061
180.05,0.00183621
180.1,0.0018543
180.15,0.00186209
180.2,0.0018655
180.25,0.00186631
180.3,0.0018694
180.35,0.00187551
180.4,0.00188335
180.45,0.00189537
180.5,0.00191382
180.55,0.00194874
180.6,0.00200102
180.65,0.00207965
180.7,0.00218647
180.75,0.00229395
180.8,0.00234538
180.85,0.00231586
180.9,0.00222781
180.95,0.00212675
181,0.0020419
181.05,0.00197419
181.1,0.00192353
181.15,0.0018908
181.2,0.00186565
181.25,0.0018391
181.3,0.00181335
181.35,0.00180153
181.4,0.00183154
181.45,0.00193308
181.5,0.00213172
181.55,0.0024346
181.6,0.00279528
181.65,0.00310924
181.7,0.00327393
181.75,0.00326214
181.8,0.00309468
181.85,0.00282716
181.9,0.00254011
181.95,0.00230188
182,0.00215282
182.05,0.0020925
182.1,0.00210401
182.15,0.00215654
182.2,0.00222992
182.25,0.00230665
182.3,0.00237273
182.35,0.00241529
182.4,0.00242589
182.45,0.00240529
182.5,0.00235723
182.55,0.00228726
182.6,0.00221612
182.65,0.0021597
182.7,0.00212666
182.75,0.00211495
182.8,0.00211876
182.85,0.00213034
182.9,0.00214677
182.95,0.00216322
183,0.00217797
183.05,0.00219558
183.1,0.00221875
183.15,0.00224777
183.2,0.00228002
183.25,0.0023138
183.3,0.0023493
183.35,0.0023818
183.4,0.00240945
183.45,0.00242673
183.5,0.00242676
183.55,0.00240769
183.6,0.00238321
183.65,0.00236978
183.7,0.00237407
183.75,0.00239084
183.8,0.00240863
183.85,0.00241807
183.9,0.00240196
183.95,0.00234979
184,0.00226954
